Filename,Autor,Titulo Cartel,Tipo,Codigo,Tecnica,Dimensiones,,Año,Prioridad,en Colección,Cantidad,Pais,Director,Observaciones 
http://cinemateca/images/ICAIC_Carteles_20160627_0001.jpg,Eduardo Muñoz Bachs,Retrospectiva de cine mexicano,Retrospectivas,RE02,Serigrafía,51 in,76 in,1975,A,Cinemateca,1,,,
http://cinemateca/images/ICAIC_Carteles_20160627_0002.jpg,Antonio Fernández Reboiro,Panorama del cine. Cine Estudio 1,Ciclo,CI15,Serigrafía,51 in,76 in,1974,,Cinemateca,3,,,
http://cinemateca/images/ICAIC_Carteles_20160627_0003.jpg,Manuel Marcel,Mujer transparente*,Filme,FI0934,Serigrafía,51 in,76 in,1990,A,Cinemateca,1,Cuba,"Héctor Veitía, Mayra Segura, Mayra Vilasis, Mario Crespo, Ana Rodríguez",
http://cinemateca/images/ICAIC_Carteles_20160627_0004.jpg,Antonio Fernández Reboiro,15 Aniversario Cinemateca de Cuba,Aniversario,AN06,Serigrafía,51 in,76 in,1975,,Cinemateca,5,,,
http://cinemateca/images/ICAIC_Carteles_20160627_0005.jpg,Antonio Fernández Reboiro,Ociel del Toa,Filme,FI0086,Serigrafía,51 in,76 in,1966,,Cinemateca,2,Cuba ,Nicolas Guillén Lándrian,
http://cinemateca/images/ICAIC_Carteles_20160627_0006.jpg,Antonio Fernández Reboiro,LBJ,Filme,FI0104,Serigrafía,51 in,76 in,1968,,Cinemateca,4,Cuba,Santiago Álvarez,
http://cinemateca/images/ICAIC_Carteles_20160627_0007.jpg,Antonio Fernández Reboiro,"Retablo para Romeo y Julieta, Un",Filme,FI0570,Serigrafía,51 in,76 in,1973,,Cinemateca,1,Cuba,Antonio Fernández Reboiro,
http://cinemateca/images/ICAIC_Carteles_20160627_0008.jpg,Antonio Fernández Reboiro,Joan Manuel Serrat.,Filme,FI1014,Serigrafía,51 in,76 in,1977,,Cinemateca,1,Cuba (No se lee),No se lee,
http://cinemateca/images/ICAIC_Carteles_20160627_0009.jpg,Antonio Fernández Reboiro,Nosotros,Filme,FI0329,Serigrafía,51 in,76 in,1977,,cinemateca,1,Cuba,Luis Felipe Bernaza,
http://cinemateca/images/ICAIC_Carteles_20160627_0010.jpg,Antonio Fernández Reboiro,Debemos saber,Filme,FI0340,Serigrafía,51 in,76 in,1979,,Cinemateca ,1,Cuba,Idelfonso Ramos,
http://cinemateca/images/ICAIC_Carteles_20160627_0011.jpg,Roberto Ramos,Afuera,Filme,FI1235,Serigrafía,51 in,76 in,2012,,Cinemateca,5,Cuba,Vanessa Portieles,
http://cinemateca/images/ICAIC_Carteles_20160627_0012.jpg,Roberto Ramos,Jirafas,Filme,FI 1251,Serigrafía,76 in,51 in,2013,,Cinemateca,10,Cuba,Enrique Álvarez,
